,,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,418.00,295.00,226.00,215.00,196.00,252.00,237.00,190.00,233.00,204.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Granted,28.00,72.00,67.00,63.00,71.00,62.00,68.00,61.00,66.00,68.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,11.00,6.00,2.00,8.00,11.00,2.00,6.00,2.00,8.00,5.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,4.00,2.00,2.00,3.00,10.00,5.00,1.00,2.00,21.00,5.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,758.00,667.00,532.00,559.00,539.00,620.00,562.00,443.00,579.00,
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,109.00,92.00,104.00,100.00,118.00,124.00,112.00,117.00,134.00,126.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,73.00,63.00,80.00,100.00,98.00,124.00,103.00,55.00,101.00,76.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,62.00,136.00,51.00,53.00,35.00,51.00,34.00,15.00,13.00,20.00
CCWF,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,3.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,3.00,7.00
CCWF,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCWF,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CCWF,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCWF,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCWF,Number and Housing Level of Incarcerated Persons,Level I,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
CCWF,Number and Housing Level of Incarcerated Persons,Level II,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCWF,Rehabilitative Programs,Academic Education - Actual Enrollment,977.75,"1,201.60","1,518.75","1,473.00","1,413.25","1,166.50","1,184.00","1,415.50","1,363.75","1,184.00"
CCWF,Rehabilitative Programs,Academic Education - Operational Capacity,"1,582.75","1,713.20","1,710.75","1,667.40","1,656.00","1,656.00","1,627.20","1,584.00","1,584.00","1,627.20"
CCWF,Rehabilitative Programs,Career Technical Education - Actual Enrollment,104.25,101.60,105.25,175.40,185.50,184.00,181.40,184.50,227.25,181.40
